OrderDate,Region,ProductCategory,CustomerSegment,UnitsSold,Revenue,Cost,Profit
2024-01-01,North,Product A,Retail,39,15691.28,8853.05,6838.23
2024-01-01,North,Product B,Online,21,1992.67,1105.13,887.54
2024-01-01,North,Product C,Online,11,4793.41,3405.19,1388.22
2024-01-01,North,Product D,Wholesale,22,1035.71,779.58,256.13
2024-01-01,South,Product A,Retail,38,774.2,655.96,118.24
2024-01-01,South,Product B,Retail,12,3763.12,1890.87,1872.25
2024-01-01,South,Product C,Online,49,13322.7,8525.88,4796.82
2024-01-01,South,Product D,Retail,47,14890.79,9438.7,5452.09
2024-01-01,East,Product A,Retail,3,1298.31,958.29,340.02
2024-01-01,East,Product B,Wholesale,39,1028.32,853.27,175.05
2024-01-01,East,Product C,Online,9,248.97,144.6,104.37
2024-01-01,East,Product D,Online,7,2189.59,1733.32,456.27
2024-01-01,West,Product A,Wholesale,14,2907.93,1639.44,1268.49
2024-01-01,West,Product B,Retail,6,718.87,502.27,216.6
2024-01-01,West,Product C,Wholesale,18,7057.15,5849.14,1208.01
2024-01-01,West,Product D,Wholesale,36,11051.71,9091.76,1959.95
2024-01-02,North,Product A,Retail,23,6210.01,5194.12,1015.89
2024-01-02,North,Product B,Wholesale,16,6059.42,4174.29,1885.13
2024-01-02,North,Product C,Retail,25,3871.21,2670.92,1200.29
2024-01-02,North,Product D,Online,29,11746.58,6179.79,5566.79
2024-01-02,South,Product A,Online,9,3516.1,2002.6,1513.5
2024-01-02,South,Product B,Online,11,1269.89,951.11,318.78
2024-01-02,South,Product C,Wholesale,33,10258.41,8455.04,1803.37
2024-01-02,South,Product D,Wholesale,41,18826.41,15014.32,3812.09
2024-01-02,East,Product A,Retail,33,1666.76,1014.8,651.96
2024-01-02,East,Product B,Online,35,10633.8,6339.37,4294.43
2024-01-02,East,Product C,Online,1,203.8,171.21,32.59
2024-01-02,East,Product D,Wholesale,1,366.43,213.48,152.95
2024-01-02,West,Product A,Wholesale,39,1536.92,1150.74,386.18
2024-01-02,West,Product B,Online,42,9697.02,5533.14,4163.88
2024-01-02,West,Product C,Wholesale,49,8373.65,5677.33,2696.32
2024-01-02,West,Product D,Online,37,5167.43,3325.93,1841.5
2024-01-03,North,Product A,Online,29,3764.87,1983.87,1781.0
2024-01-03,North,Product B,Wholesale,22,9737.74,6996.8,2740.94
2024-01-03,North,Product C,Wholesale,6,1434.82,827.11,607.71
2024-01-03,North,Product D,Retail,11,1932.54,1048.85,883.69
2024-01-03,South,Product A,Online,39,17755.83,10569.09,7186.74
2024-01-03,South,Product B,Online,13,5630.96,2829.18,2801.78
2024-01-03,South,Product C,Wholesale,9,2274.47,1688.46,586.01
2024-01-03,South,Product D,Retail,44,6035.93,3373.49,2662.44
2024-01-03,East,Product A,Wholesale,49,2506.27,1475.87,1030.4
2024-01-03,East,Product B,Retail,39,10088.49,6106.64,3981.85
2024-01-03,East,Product C,Wholesale,17,2516.93,2118.79,398.14
2024-01-03,East,Product D,Online,23,3536.26,2892.28,643.98
2024-01-03,West,Product A,Wholesale,2,549.7,361.0,188.7
2024-01-03,West,Product B,Online,32,9743.82,5147.65,4596.17
2024-01-03,West,Product C,Wholesale,17,6282.25,3949.8,2332.45
2024-01-03,West,Product D,Retail,6,1268.61,996.81,271.8
2024-01-04,North,Product A,Retail,9,1565.77,885.1,680.67
2024-01-04,North,Product B,Online,3,910.89,671.46,239.43
2024-01-04,North,Product C,Online,26,6910.92,4003.31,2907.61
2024-01-04,North,Product D,Wholesale,41,14417.65,9160.36,5257.29
2024-01-04,South,Product A,Retail,40,3440.4,2130.89,1309.51
2024-01-04,South,Product B,Online,23,6437.59,4786.51,1651.08
2024-01-04,South,Product C,Retail,16,6596.27,4579.92,2016.35
2024-01-04,South,Product D,Retail,2,996.4,834.88,161.52
2024-01-04,East,Product A,Retail,37,16415.62,9292.02,7123.6
2024-01-04,East,Product B,Wholesale,35,12466.01,9927.08,2538.93
2024-01-04,East,Product C,Wholesale,33,10829.78,5733.82,5095.96
2024-01-04,East,Product D,Wholesale,40,12443.44,6261.78,6181.66
2024-01-04,West,Product A,Wholesale,25,8462.02,4246.0,4216.02
2024-01-04,West,Product B,Retail,18,4555.7,2992.86,1562.84
2024-01-04,West,Product C,Wholesale,41,4282.21,2168.2,2114.01
2024-01-04,West,Product D,Online,21,2222.53,1396.34,826.19
2024-01-05,North,Product A,Online,3,1006.96,703.77,303.19
2024-01-05,North,Product B,Wholesale,22,3240.54,1897.0,1343.54
2024-01-05,North,Product C,Online,38,7930.1,6440.96,1489.14
2024-01-05,North,Product D,Online,27,10840.75,7327.51,3513.24
2024-01-05,South,Product A,Online,33,3752.65,2825.21,927.44
2024-01-05,South,Product B,Retail,4,126.69,91.97,34.72
2024-01-05,South,Product C,Retail,44,20742.49,17296.64,3445.85
2024-01-05,South,Product D,Retail,6,1186.06,599.45,586.61
2024-01-05,East,Product A,Retail,49,13981.03,9790.95,4190.08
2024-01-05,East,Product B,Online,21,2344.38,1392.48,951.9
2024-01-05,East,Product C,Wholesale,18,5170.76,4279.6,891.16
2024-01-05,East,Product D,Online,3,880.89,470.41,410.48
2024-01-05,West,Product A,Wholesale,22,4227.31,2489.7,1737.61
2024-01-05,West,Product B,Retail,2,349.65,278.68,70.97
2024-01-05,West,Product C,Wholesale,43,15491.92,10743.44,4748.48
2024-01-05,West,Product D,Retail,26,10630.22,8541.12,2089.1
2024-01-06,North,Product A,Retail,7,1825.09,1422.48,402.61
2024-01-06,North,Product B,Online,8,2855.55,2223.12,632.43
2024-01-06,North,Product C,Online,23,764.89,537.41,227.48
2024-01-06,North,Product D,Wholesale,22,3905.29,2164.56,1740.73
2024-01-06,South,Product A,Wholesale,22,6679.2,3410.9,3268.3
2024-01-06,South,Product B,Retail,6,993.4,683.44,309.96
2024-01-06,South,Product C,Retail,33,13773.45,8195.75,5577.7
2024-01-06,South,Product D,Wholesale,39,2377.7,1231.86,1145.84
2024-01-06,East,Product A,Retail,47,16721.0,9170.19,7550.81
2024-01-06,East,Product B,Online,42,7350.8,5721.24,1629.56
2024-01-06,East,Product C,Retail,19,4383.42,2312.08,2071.34
2024-01-06,East,Product D,Retail,26,12533.85,9934.24,2599.61
2024-01-06,West,Product A,Retail,12,2595.57,1455.21,1140.36
2024-01-06,West,Product B,Retail,47,6585.48,4558.66,2026.82
2024-01-06,West,Product C,Retail,40,18744.59,13559.74,5184.85
2024-01-06,West,Product D,Retail,39,13081.12,8535.24,4545.88
2024-01-07,North,Product A,Retail,3,416.73,260.29,156.44
2024-01-07,North,Product B,Retail,22,592.0,320.05,271.95
2024-01-07,North,Product C,Retail,47,1858.84,1485.98,372.86
2024-01-07,North,Product D,Retail,12,338.85,259.96,78.89
2024-01-07,South,Product A,Retail,39,7262.82,4812.6,2450.22
2024-01-07,South,Product B,Wholesale,23,990.57,824.35,166.22
2024-01-07,South,Product C,Retail,31,847.73,700.82,146.91
2024-01-07,South,Product D,Online,5,1741.51,1246.13,495.38
2024-01-07,East,Product A,Online,2,65.45,46.14,19.31
2024-01-07,East,Product B,Retail,20,5924.55,3767.18,2157.37
2024-01-07,East,Product C,Online,33,13509.47,10634.98,2874.49
2024-01-07,East,Product D,Retail,1,481.37,393.22,88.15
2024-01-07,West,Product A,Retail,13,1599.04,1010.66,588.38
2024-01-07,West,Product B,Retail,35,6354.11,4635.34,1718.77
2024-01-07,West,Product C,Online,26,9026.54,5589.4,3437.14
2024-01-07,West,Product D,Wholesale,41,10582.02,7857.27,2724.75
2024-01-08,North,Product A,Retail,45,21131.6,10855.62,10275.98
2024-01-08,North,Product B,Retail,21,10173.21,7037.73,3135.48
2024-01-08,North,Product C,Online,9,2636.01,1849.36,786.65
2024-01-08,North,Product D,Online,48,3901.97,2292.43,1609.54
2024-01-08,South,Product A,Retail,32,13825.22,8988.44,4836.78
2024-01-08,South,Product B,Retail,23,8790.15,4712.34,4077.81
2024-01-08,South,Product C,Wholesale,49,12863.54,10152.68,2710.86
2024-01-08,South,Product D,Retail,13,5848.06,3720.66,2127.4
2024-01-08,East,Product A,Wholesale,41,17491.78,10918.66,6573.12
2024-01-08,East,Product B,Online,31,14765.03,10345.9,4419.13
2024-01-08,East,Product C,Retail,16,3764.06,2268.31,1495.75
2024-01-08,East,Product D,Retail,21,8003.94,6219.48,1784.46
2024-01-08,West,Product A,Online,39,2487.38,1674.12,813.26
2024-01-08,West,Product B,Online,14,3972.83,2600.36,1372.47
2024-01-08,West,Product C,Retail,29,5464.74,2956.28,2508.46
2024-01-08,West,Product D,Wholesale,10,4217.43,3388.3,829.13
2024-01-09,North,Product A,Retail,7,1571.67,908.27,663.4
2024-01-09,North,Product B,Retail,27,9692.9,5122.43,4570.47
2024-01-09,North,Product C,Retail,38,18756.31,11835.13,6921.18
2024-01-09,North,Product D,Retail,22,9023.16,7503.09,1520.07
2024-01-09,South,Product A,Online,45,17172.97,10848.01,6324.96
2024-01-09,South,Product B,Online,19,7467.58,5193.26,2274.32
2024-01-09,South,Product C,Online,10,4550.5,2452.35,2098.15
2024-01-09,South,Product D,Wholesale,45,1145.24,760.48,384.76
2024-01-09,East,Product A,Retail,20,1540.65,833.7,706.95
2024-01-09,East,Product B,Wholesale,39,14745.96,10383.8,4362.16
2024-01-09,East,Product C,Retail,49,2929.6,2006.57,923.03
2024-01-09,East,Product D,Retail,6,2430.07,2046.76,383.31
2024-01-09,West,Product A,Online,47,21044.19,14408.86,6635.33
2024-01-09,West,Product B,Retail,37,5233.11,3890.26,1342.85
2024-01-09,West,Product C,Online,18,1796.1,1034.34,761.76
2024-01-09,West,Product D,Online,31,15437.97,11484.67,3953.3
2024-01-10,North,Product A,Wholesale,16,5980.93,4906.39,1074.54
2024-01-10,North,Product B,Retail,32,1528.79,975.49,553.3
2024-01-10,North,Product C,Wholesale,8,811.57,589.52,222.05
2024-01-10,North,Product D,Online,28,1604.75,1349.66,255.09
2024-01-10,South,Product A,Retail,17,2622.87,1688.92,933.95
2024-01-10,South,Product B,Online,28,4201.67,2296.69,1904.98
2024-01-10,South,Product C,Online,6,2855.42,2152.99,702.43
2024-01-10,South,Product D,Wholesale,25,5518.92,4561.14,957.78
2024-01-10,East,Product A,Wholesale,45,4460.42,2872.24,1588.18
2024-01-10,East,Product B,Online,1,250.58,211.7,38.88
